X	y	y_2std
-1.000000000000000000e+01	-4.038348349882514565e-02	5.675729700794406973e+00
-9.949999999999999289e+00	-4.238856086755021790e-02	5.675708635024006909e+00
-9.899999999999998579e+00	-4.448025269251874164e-02	5.675685529752020564e+00
-9.849999999999997868e+00	-4.666157796578240119e-02	5.675660202442126767e+00
-9.799999999999997158e+00	-4.893562267060426463e-02	5.675632455753413019e+00
-9.749999999999996447e+00	-5.130553924824294426e-02	5.675602076488883263e+00
-9.699999999999995737e+00	-5.377454592930301647e-02	5.675568834483051717e+00
-9.649999999999995026e+00	-5.634592592367915903e-02	5.675532481426310838e+00
-9.599999999999994316e+00	-5.902302646310726014e-02	5.675492749623780142e+00
-9.549999999999993605e+00	-6.180925769033230460e-02	5.675449350686371019e+00
-9.499999999999992895e+00	-6.470809138891550627e-02	5.675401974151856876e+00
-9.449999999999992184e+00	-6.772305954773191750e-02	5.675350286033790326e+00
-9.399999999999991473e+00	-7.085775275425078290e-02	5.675293927296189977e+00
-9.349999999999990763e+00	-7.411581841075037813e-02	5.675232512252007311e+00
-9.299999999999990052e+00	-7.750095876769656777e-02	5.675165626883494241e+00
-9.249999999999989342e+00	-8.101692876860683290e-02	5.675092827082722557e+00
-9.199999999999988631e+00	-8.466753370083089647e-02	5.675013636810644080e+00
-9.149999999999987921e+00	-8.845662664681691600e-02	5.674927546173259785e+00
-9.099999999999987210e+00	-9.238810573057376629e-02	5.674834009413645575e+00
-9.049999999999986500e+00	-9.646591115421562779e-02	5.674732442818801736e+00
-8.999999999999985789e+00	-1.006940220196647917e-01	5.674622222540515182e+00
-8.949999999999985079e+00	-1.050764529307991885e-01	5.674502682329698011e+00
-8.899999999999984368e+00	-1.096172503715638624e-01	5.674373111183936835e+00
-8.849999999999983658e+00	-1.143204888558244092e-01	5.674232750908295486e+00
-8.799999999999982947e+00	-1.191902668450133540e-01	5.674080793589769023e+00
-8.749999999999982236e+00	-1.242307024299213192e-01	5.673916378986119113e+00
-8.699999999999981526e+00	-1.294459287733127073e-01	5.673738591830226774e+00
-8.649999999999980815e+00	-1.348400893103846587e-01	5.673546459051518553e+00
-8.599999999999980105e+00	-1.404173327044609398e-01	5.673338946916456571e+00
-8.549999999999979394e+00	-1.461818075557079488e-01	5.673114958090546445e+00
-8.499999999999978684e+00	-1.521376568610712521e-01	5.672873328624841172e+00
-8.449999999999977973e+00	-1.582890122240744601e-01	5.672612824870417292e+00
-8.399999999999977263e+00	-1.646399878135827721e-01	5.672332140324856553e+00
-8.349999999999976552e+00	-1.711946740711281501e-01	5.672029892415360486e+00
-8.299999999999975842e+00	-1.779571311668861344e-01	5.671704619223698174e+00
-8.249999999999975131e+00	-1.849313822049480638e-01	5.671354776158841204e+00
-8.199999999999974420e+00	-1.921214061790690597e-01	5.670978732583751736e+00
-8.149999999999973710e+00	-1.995311306806565876e-01	5.670574768403499277e+00
-8.099999999999972999e+00	-2.071644243613662839e-01	5.670141070622522150e+00
-8.049999999999972289e+00	-2.150250891532818898e-01	5.669675729879583237e+00
-7.999999999999971578e+00	-2.231168522502976481e-01	5.669176736969682828e+00
-7.949999999999970868e+00	-2.314433578549859039e-01	5.668641979362885053e+00
-7.899999999999970157e+00	-2.400081586959013913e-01	5.668069237730807508e+00
-7.849999999999969447e+00	-2.488147073209642512e-01	5.667456182492210282e+00
-7.799999999999968736e+00	-2.578663471732907109e-01	5.666800370389906583e+00
-7.749999999999968026e+00	-2.671663034565440187e-01	5.666099241111927753e+00
-7.699999999999967315e+00	-2.767176737976289047e-01	5.665350113970642809e+00
-7.649999999999966604e+00	-2.865234187153061218e-01	5.664550184654249421e+00
-7.599999999999965894e+00	-2.965863519040595198e-01	5.663696522065762906e+00
-7.549999999999965183e+00	-3.069091303433198470e-01	5.662786065265356328e+00
-7.499999999999964473e+00	-3.174942442429362632e-01	5.661815620532553162e+00
-7.449999999999963762e+00	-3.283440068365715003e-01	5.660781858565456126e+00
-7.399999999999963052e+00	-3.394605440354703796e-01	5.659681311834819262e+00
-7.349999999999962341e+00	-3.508457839558766778e-01	5.658510372111314801e+00
-7.299999999999961631e+00	-3.625014463341360571e-01	5.657265288184978758e+00
-7.249999999999960920e+00	-3.744290318443289634e-01	5.655942163796240152e+00
-7.199999999999960210e+00	-3.866298113340690401e-01	5.654536955798459275e+00
-7.149999999999959499e+00	-3.991048149948797641e-01	5.653045472572258312e+00
-7.099999999999958789e+00	-4.118548214843312238e-01	5.651463372712310473e+00
-7.049999999999958078e+00	-4.248803470179026154e-01	5.649786164007505995e+00
-6.999999999999957367e+00	-4.381816344492676651e-01	5.648009202735636336e+00
-6.949999999999956657e+00	-4.517586423584454280e-01	5.646127693293896854e+00
-6.899999999999955946e+00	-4.656110341679849385e-01	5.644136688186549122e+00
-6.849999999999955236e+00	-4.797381673080383657e-01	5.642031088391092908e+00
-6.799999999999954525e+00	-4.941390824518641645e-01	5.639805644124193051e+00
-6.749999999999953815e+00	-5.088124928439520245e-01	5.637454956028426167e+00
-6.699999999999953104e+00	-5.237567737435766535e-01	5.634973476800646530e+00
-6.649999999999952394e+00	-5.389699520071971062e-01	5.632355513282403692e+00
-6.599999999999951683e+00	-5.544496958336631032e-01	5.629595229032394066e+00
-6.549999999999950973e+00	-5.701933046967201379e-01	5.626686647400362951e+00
-6.499999999999950262e+00	-5.861976994898037141e-01	5.623623655121259723e+00
-6.449999999999949551e+00	-6.024594129085361072e-01	5.620400006447643371e+00
-6.399999999999948841e+00	-6.189745800967600964e-01	5.617009327837562793e+00
-6.349999999999948130e+00	-6.357389295823007158e-01	5.613445123214130028e+00
-6.299999999999947420e+00	-6.527477745289398392e-01	5.609700779811986671e+00
-6.249999999999946709e+00	-6.699960043313629710e-01	5.605769574624749119e+00
-6.199999999999945999e+00	-6.874780765800354576e-01	5.601644681466216191e+00
-6.149999999999945288e+00	-7.051880094231106622e-01	5.597319178656865013e+00
-6.099999999999944578e+00	-7.231193743525750062e-01	5.592786057345685791e+00
-6.049999999999943867e+00	-7.412652894418532146e-01	5.588038230475899759e+00
-5.999999999999943157e+00	-7.596184130620868835e-01	5.583068542401532497e+00
-5.949999999999942446e+00	-7.781709381041779228e-01	5.577869779160077535e+00
-5.899999999999941735e+00	-7.969145867335664102e-01	5.572434679404761226e+00
-5.849999999999941025e+00	-8.158406057044463866e-01	5.566755945998054678e+00
-5.799999999999940314e+00	-8.349397622598616620e-01	5.560826258266160060e+00
-5.749999999999939604e+00	-8.542023406437500022e-01	5.554638284912221557e+00
-5.699999999999938893e+00	-8.736181392505459886e-01	5.548184697583954161e+00
-5.649999999999938183e+00	-8.931764684374835506e-01	5.541458185089274124e+00
-5.599999999999937472e+00	-9.128661490241288812e-01	5.534451468251361028e+00
-5.549999999999936762e+00	-9.326755115030287424e-01	5.527157315392357440e+00
-5.499999999999936051e+00	-9.525923959846267497e-01	5.519568558432647265e+00
-5.449999999999935341e+00	-9.726041528988051965e-01	5.511678109590398833e+00
-5.399999999999934630e+00	-9.926976444745154726e-01	5.503478978663656207e+00
-5.349999999999933920e+00	-1.012859247018015330e+00	5.494964290874986723e+00
-5.299999999999933209e+00	-1.033074854009202515e+00	5.486127305256212061e+00
-5.249999999999932498e+00	-1.053329880034427291e+00	5.476961433548451552e+00
-5.199999999999931788e+00	-1.073609265572984306e+00	5.467460259590168903e+00
-5.149999999999931077e+00	-1.093897482653255038e+00	5.457617559163585597e+00
-5.099999999999930367e+00	-1.114178541393122224e+00	5.447427320267291151e+00
-5.049999999999929656e+00	-1.134435997437911015e+00	5.436883763780514300e+00
-4.999999999999928946e+00	-1.154652960307648080e+00	5.425981364481995861e+00
-4.949999999999928235e+00	-1.174812102663881141e+00	5.414714872384021049e+00
-4.899999999999927525e+00	-1.194895670504752205e+00	5.403079334339683015e+00
-4.849999999999926814e+00	-1.214885494295329105e+00	5.391070115879033509e+00
-4.799999999999926104e+00	-1.234763001038505559e+00	5.378682923227348311e+00
-4.749999999999925393e+00	-1.254509227290005136e+00	5.365913825456306796e+00
-4.699999999999924682e+00	-1.274104833119211078e+00	5.352759276716495762e+00
-4.649999999999923972e+00	-1.293530117015650793e+00	5.339216138497230979e+00
-4.599999999999923261e+00	-1.312765031739070443e+00	5.325281701857325523e+00
-4.549999999999922551e+00	-1.331789201109049303e+00	5.310953709568068781e+00
-4.499999999999921840e+00	-1.350581937728097648e+00	5.296230378107287251e+00
-4.449999999999921130e+00	-1.369122261630174808e+00	5.281110419441077397e+00
-4.399999999999920419e+00	-1.387388919844449342e+00	5.265593062527403667e+00
-4.349999999999919709e+00	-1.405360406862059097e+00	5.249678074473502321e+00
-4.299999999999918998e+00	-1.423014985991483350e+00	5.233365781276674511e+00
-4.249999999999918288e+00	-1.440330711586037316e+00	5.216657088075809412e+00
-4.199999999999917577e+00	-1.457285452124804204e+00	5.199553498838677790e+00
-4.149999999999916866e+00	-1.473856914126197015e+00	5.182057135407800885e+00
-4.099999999999916156e+00	-1.490022666871178680e+00	5.164170755825442605e+00
-4.049999999999915445e+00	-1.505760167910982217e+00	5.145897771856103198e+00
-3.999999999999914735e+00	-1.521046789332070714e+00	5.127242265622659723e+00
-3.949999999999914024e+00	-1.535859844748916236e+00	5.108209005270197167e+00
-3.899999999999913314e+00	-1.550176616993044876e+00	5.088803459569445131e+00
-3.849999999999912603e+00	-1.563974386464768607e+00	5.069031811369697493e+00
-3.799999999999911893e+00	-1.577230460111879617e+00	5.048900969809108297e+00
-3.749999999999911182e+00	-1.589922200997647916e+00	5.028418581188350167e+00
-3.699999999999910472e+00	-1.602027058418429517e+00	5.007593038411836339e+00
-3.649999999999909761e+00	-1.613522598529272267e+00	4.986433488899038480e+00
-3.599999999999909051e+00	-1.624386535434059642e+00	4.964949840866876407e+00
-3.549999999999908340e+00	-1.634596762694880523e+00	4.943152767882875054e+00
-3.499999999999907629e+00	-1.644131385213582819e+00	4.921053711587597412e+00
