X	y
-1.000000000000000000e+01	-4.787227851904563014e-02
-9.949999999999999289e+00	-6.610547444974085307e-02
-9.899999999999998579e+00	-8.638346254288917225e-02
-9.849999999999997868e+00	-1.087204186620149837e-01
-9.799999999999997158e+00	-1.331213068783444475e-01
-9.749999999999996447e+00	-1.595931580697851904e-01
-9.699999999999995737e+00	-1.881380229317565767e-01
-9.649999999999995026e+00	-2.187536008870749615e-01
-9.599999999999994316e+00	-2.514347019261710670e-01
-9.549999999999993605e+00	-2.861729774952453953e-01
-9.499999999999992895e+00	-3.229563260781644907e-01
-9.449999999999992184e+00	-3.617680357969000893e-01
-9.399999999999991473e+00	-4.025893235505010326e-01
-9.349999999999990763e+00	-4.453978485342186544e-01
-9.299999999999990052e+00	-4.901667210667647323e-01
-9.249999999999989342e+00	-5.368676267417085146e-01
-9.199999999999988631e+00	-5.854655797674932494e-01
-9.149999999999987921e+00	-6.359257754759937153e-01
-9.099999999999987210e+00	-6.882078682442294149e-01
-9.049999999999986500e+00	-7.422695895962403423e-01
-8.999999999999985789e+00	-7.980642720628241538e-01
-8.949999999999985079e+00	-8.555435257959845829e-01
-8.899999999999984368e+00	-9.146547163730559538e-01
-8.849999999999983658e+00	-9.753428412169977690e-01
-8.799999999999982947e+00	-1.037549925632717196e+00
-8.749999999999982236e+00	-1.101215906283370849e+00
-8.699999999999981526e+00	-1.166277596546190898e+00
-8.649999999999980815e+00	-1.232669212122457170e+00
-8.599999999999980105e+00	-1.300320657539226099e+00
-8.549999999999979394e+00	-1.369164100690860364e+00
-8.499999999999978684e+00	-1.439124752252350481e+00
-8.449999999999977973e+00	-1.510128907800547093e+00
-8.399999999999977263e+00	-1.582099404846422752e+00
-8.349999999999976552e+00	-1.654958546204477798e+00
-8.299999999999975842e+00	-1.728624422673259220e+00
-8.249999999999975131e+00	-1.803016574297364505e+00
-8.199999999999974420e+00	-1.878050915847415014e+00
-8.149999999999973710e+00	-1.953643507595818951e+00
-8.099999999999972999e+00	-2.029709788249216551e+00
-8.049999999999972289e+00	-2.106161662649713939e+00
-7.999999999999971578e+00	-2.182911803376273774e+00
-7.949999999999970868e+00	-2.259873719748885179e+00
-7.899999999999970157e+00	-2.336958034157945008e+00
-7.849999999999969447e+00	-2.414075863174155678e+00
-7.799999999999968736e+00	-2.491138251586280994e+00
-7.749999999999968026e+00	-2.568057266844361752e+00
-7.699999999999967315e+00	-2.644742194884595943e+00
-7.649999999999966604e+00	-2.721105697610410434e+00
-7.599999999999965894e+00	-2.797058970916653120e+00
-7.549999999999965183e+00	-2.872514194491238460e+00
-7.499999999999964473e+00	-2.947384112490381014e+00
-7.449999999999963762e+00	-3.021582585342896365e+00
-7.399999999999963052e+00	-3.095025944412556296e+00
-7.349999999999962341e+00	-3.167627797358622210e+00
-7.299999999999961631e+00	-3.239306517536309826e+00
-7.249999999999960920e+00	-3.309980189540777662e+00
-7.199999999999960210e+00	-3.379569489045999298e+00
-7.149999999999959499e+00	-3.447995718269443177e+00
-7.099999999999958789e+00	-3.515181170543747236e+00
-7.049999999999958078e+00	-3.581053244402277347e+00
-6.999999999999957367e+00	-3.645537267416782967e+00
-6.949999999999956657e+00	-3.708564195561821375e+00
-6.899999999999955946e+00	-3.770063828877408874e+00
-6.849999999999955236e+00	-3.829970870002760375e+00
-6.799999999999954525e+00	-3.888221911126492625e+00
-6.749999999999953815e+00	-3.944753666416469962e+00
-6.699999999999953104e+00	-3.999508904281945831e+00
-6.649999999999952394e+00	-4.052429938224265449e+00
-6.599999999999951683e+00	-4.103463132225869003e+00
-6.549999999999950973e+00	-4.152558626612018244e+00
-6.499999999999950262e+00	-4.199666113196805384e+00
-6.449999999999949551e+00	-4.244741666047589845e+00
-6.399999999999948841e+00	-4.287741340793732370e+00
-6.349999999999948130e+00	-4.328625943597737447e+00
-6.299999999999947420e+00	-4.367357900711716923e+00
-6.249999999999946709e+00	-4.403903984930811255e+00
-6.199999999999945999e+00	-4.438231203897474053e+00
-6.149999999999945288e+00	-4.470312984626778174e+00
-6.099999999999944578e+00	-4.500123211390157252e+00
-6.049999999999943867e+00	-4.527639734721223164e+00
-5.999999999999943157e+00	-4.552842690640748202e+00
-5.949999999999942446e+00	-4.575715788937031903e+00
-5.899999999999941735e+00	-4.596244716447565715e+00
-5.849999999999941025e+00	-4.614419569461063908e+00
-5.799999999999940314e+00	-4.630231519986594435e+00
-5.749999999999939604e+00	-4.643676051161056861e+00
-5.699999999999938893e+00	-4.654749426423476777e+00
-5.649999999999938183e+00	-4.663453788773630926e+00
-5.599999999999937472e+00	-4.669790448106900804e+00
-5.549999999999936762e+00	-4.673766339705794692e+00
-5.499999999999936051e+00	-4.675388234614469951e+00
-5.449999999999935341e+00	-4.674667795519050983e+00
-5.399999999999934630e+00	-4.671618301987675359e+00
-5.349999999999933920e+00	-4.666254526502711109e+00
-5.299999999999933209e+00	-4.658594702848590785e+00
-5.249999999999932498e+00	-4.648659743665278121e+00
-5.199999999999931788e+00	-4.636471533738030892e+00
-5.149999999999931077e+00	-4.622054435891423729e+00
-5.099999999999930367e+00	-4.605435672877121078e+00
-5.049999999999929656e+00	-4.586642909406996260e+00
-4.999999999999928946e+00	-4.565707109213448689e+00
-4.949999999999928235e+00	-4.542661125414781509e+00
-4.899999999999927525e+00	-4.517538623039270895e+00
-4.849999999999926814e+00	-4.490375129408991306e+00
-4.799999999999926104e+00	-4.461209207060573334e+00
-4.749999999999925393e+00	-4.430078786876922692e+00
-4.699999999999924682e+00	-4.397024549963849616e+00
-4.649999999999923972e+00	-4.362088363505379540e+00
-4.599999999999923261e+00	-4.325313830695336037e+00
-4.549999999999922551e+00	-4.286744836528580294e+00
-4.499999999999921840e+00	-4.246426947196809465e+00
-4.449999999999921130e+00	-4.204406430826927554e+00
-4.399999999999920419e+00	-4.160731635554695274e+00
-4.349999999999919709e+00	-4.115450933157118740e+00
-4.299999999999918998e+00	-4.068613144684461780e+00
-4.249999999999918288e+00	-4.020268745779972619e+00
-4.199999999999917577e+00	-3.970468556300905227e+00
-4.149999999999916866e+00	-3.919263870138919970e+00
-4.099999999999916156e+00	-3.866707170522414749e+00
-4.049999999999915445e+00	-3.812850476868793415e+00
-3.999999999999914735e+00	-3.757747619905816627e+00
-3.949999999999914024e+00	-3.701451122091316215e+00
-3.899999999999913314e+00	-3.644014469385468580e+00
-3.849999999999912603e+00	-3.585492236830486235e+00
-3.799999999999911893e+00	-3.525938607933478686e+00
-3.749999999999911182e+00	-3.465407145605261974e+00
-3.699999999999910472e+00	-3.403952228340319408e+00
-3.649999999999909761e+00	-3.341627835338898844e+00
-3.599999999999909051e+00	-3.278488820702276207e+00
-3.549999999999908340e+00	-3.214588527341367019e+00
-3.499999999999907629e+00	-3.149981730652352763e+00
-3.449999999999906919e+00	-3.084720575595830461e+00
-3.399999999999906208e+00	-3.018859561138474312e+00
-3.349999999999905498e+00	-2.952451620287597223e+00
-3.299999999999904787e+00	-2.885548380896147513e+00
-3.249999999999904077e+00	-2.818203599985796615e+00
-3.199999999999903366e+00	-2.750467273171885552e+00
-3.149999999999902656e+00	-2.682391983921915468e+00
-3.099999999999901945e+00	-2.614027573164225515e+00
-3.049999999999901235e+00	-2.545423881788561715e+00
-2.999999999999900524e+00	-2.476630347195124315e+00
-2.949999999999899813e+00	-2.407695731430806063e+00
-2.899999999999899103e+00	-2.338667108059062638e+00
-2.849999999999898392e+00	-2.269592541683197684e+00
-2.799999999999897682e+00	-2.200517471937037950e+00
-2.749999999999896971e+00	-2.131486595968079989e+00
-2.699999999999896261e+00	-2.062545162921545661e+00
-2.649999999999895550e+00	-1.993736430403858284e+00
-2.599999999999894840e+00	-1.925101923656302505e+00
-2.549999999999894129e+00	-1.856683942775617213e+00
-2.499999999999893419e+00	-1.788521858406147746e+00
-2.449999999999892708e+00	-1.720655285141729385e+00
-2.399999999999891998e+00	-1.653121788161384886e+00
-2.349999999999891287e+00	-1.585958092529379915e+00
-2.299999999999890576e+00	-1.519200143838686845e+00
-2.249999999999889866e+00	-1.452882500196200022e+00
-2.199999999999889155e+00	-1.387037114420786477e+00
-2.149999999999888445e+00	-1.321697310562199412e+00
-2.099999999999887734e+00	-1.256892977094981489e+00
-2.049999999999887024e+00	-1.192652063145495767e+00
-1.999999999999886313e+00	-1.129004204793651267e+00
-1.949999999999885603e+00	-1.065975183889621647e+00
-1.899999999999884892e+00	-1.003589847867974338e+00
-1.849999999999884182e+00	-9.418720748839819468e-01
-1.799999999999883471e+00	-8.808449172202836852e-01
-1.749999999999882760e+00	-8.205277737541424310e-01
-1.699999999999882050e+00	-7.609416629750139771e-01
-1.649999999999881339e+00	-7.021036991956137729e-01
-1.599999999999880629e+00	-6.440314458942397735e-01
-1.549999999999879918e+00	-5.867394992032827217e-01
-1.499999999999879208e+00	-5.302421541141618677e-01
-1.449999999999878497e+00	-4.745519918987435304e-01
-1.399999999999877787e+00	-4.196802886364120466e-01
-1.349999999999877076e+00	-3.656364945890557827e-01
-1.299999999999876366e+00	-3.124293648606704110e-01
-1.249999999999875655e+00	-2.600667024602318911e-01
-1.199999999999874944e+00	-2.085536316601934725e-01
-1.149999999999874234e+00	-1.578948666268719103e-01
-1.099999999999873523e+00	-1.080947467414686836e-01
-1.049999999999872813e+00	-5.915406166243830643e-02
-9.999999999998721023e-01	-1.107605902432007294e-02
-9.499999999998713918e-01	3.614129858131354123e-02
-8.999999999998706812e-01	8.249749315765730895e-02
-8.499999999998699707e-01	1.279951070105961319e-01
-7.999999999998692601e-01	1.726373171664328243e-01
-7.499999999998685496e-01	2.164275337466489146e-01
-6.999999999998678391e-01	2.593707618017442318e-01
-6.499999999998671285e-01	3.014729709882748576e-01
-5.999999999998664180e-01	3.427398695045000832e-01
-5.499999999998657074e-01	3.831785320647467241e-01
-4.999999999998649969e-01	4.227961359619063497e-01
-4.499999999998642863e-01	4.616011544498730412e-01
-3.999999999998635758e-01	4.996029177932839183e-01
-3.499999999998628653e-01	5.368096180443782117e-01
-2.999999999998621547e-01	5.732308452734290460e-01
-2.499999999998614442e-01	6.088767766582334762e-01
-1.999999999998607336e-01	6.437567897381667459e-01
-1.499999999998600231e-01	6.778812227439550142e-01
-9.999999999985931254e-02	7.112603569139427373e-01
-4.999999999985860200e-02	7.439040444634021920e-01
1.421085471520200372e-13	7.758231614991134562e-01
5.000000000014281909e-02	8.070270562475942988e-01
1.000000000001435296e-01	8.375265796525390716e-01
1.500000000001442402e-01	8.673308112698702166e-01
2.000000000001449507e-01	8.964496104649046782e-01
2.500000000001456613e-01	9.248913246631871310e-01
3.000000000001463718e-01	9.526652600051823683e-01
3.500000000001470823e-01	9.797799216391285260e-01
4.000000000001477929e-01	1.006242566703161589e+00
4.500000000001485034e-01	1.032060986094063715e+00
5.000000000001492140e-01	1.057241158409348403e+00
5.500000000001499245e-01	1.081789428286322297e+00
6.000000000001506351e-01	1.105711213354410472e+00
6.500000000001513456e-01	1.129011316166740109e+00
7.000000000001520561e-01	1.151693777921590112e+00
7.500000000001527667e-01	1.173761065259053105e+00
8.000000000001534772e-01	1.195216443057803835e+00
8.500000000001541878e-01	1.216061116390824814e+00
9.000000000001548983e-01	1.236296157044201038e+00
9.500000000001556089e-01	1.255921981126720155e+00
1.000000000000156319e+00	1.274937988818829027e+00
1.050000000000157030e+00	1.293341591919428879e+00
1.100000000000157740e+00	1.311131373961705204e+00
