X	y
-1.000000000000000000e+01	4.957834596833115004e-01
-9.949999999999999289e+00	3.919508872022401391e-01
-9.899999999999998579e+00	2.401101647665815353e-01
-9.849999999999997868e+00	4.471546949782689850e-02
-9.799999999999997158e+00	-1.889143612503686454e-01
-9.749999999999996447e+00	-4.546453420827676895e-01
-9.699999999999995737e+00	-7.455562982105388148e-01
-9.649999999999995026e+00	-1.053949106958431248e+00
-9.599999999999994316e+00	-1.371362800253593139e+00
-9.549999999999993605e+00	-1.688630072446210439e+00
-9.499999999999992895e+00	-1.995985924617715845e+00
-9.449999999999992184e+00	-2.283242155905670145e+00
-9.399999999999991473e+00	-2.540042576095661531e+00
-9.349999999999990763e+00	-2.756197418525748066e+00
-9.299999999999990052e+00	-2.922071478355138474e+00
-9.249999999999989342e+00	-3.029018683443440274e+00
-9.199999999999988631e+00	-3.069831098416584858e+00
-9.149999999999987921e+00	-3.039156200770188665e+00
-9.099999999999987210e+00	-2.933873425658851453e+00
-9.049999999999986500e+00	-2.753369140243155044e+00
-8.999999999999985789e+00	-2.499704782190336871e+00
-8.949999999999985079e+00	-2.177645601833226419e+00
-8.899999999999984368e+00	-1.794541152245883175e+00
-8.849999999999983658e+00	-1.360066483582952568e+00
-8.799999999999982947e+00	-8.858183119283391527e-01
-8.749999999999982236e+00	-3.848113971196548411e-01
-8.699999999999981526e+00	1.291173159726705655e-01
-8.649999999999980815e+00	6.419417241170568555e-01
-8.599999999999980105e+00	1.140089956426131756e+00
-8.549999999999979394e+00	1.611037388357337008e+00
-8.499999999999978684e+00	2.043841273631581412e+00
-8.449999999999977973e+00	2.429551169370383068e+00
-8.399999999999977263e+00	2.761497459309245173e+00
-8.349999999999976552e+00	3.035436593020800267e+00
-8.299999999999975842e+00	3.249543025267930485e+00
-8.249999999999975131e+00	3.404272742849129063e+00
-8.199999999999974420e+00	3.502104511419894539e+00
-8.149999999999973710e+00	3.547193785728301130e+00
-8.099999999999972999e+00	3.544958037263237660e+00
-8.049999999999972289e+00	3.501649915211672681e+00
-7.999999999999971578e+00	3.423920271148659822e+00
-7.949999999999970868e+00	3.318430360063737261e+00
-7.899999999999970157e+00	3.191515363202841904e+00
-7.849999999999969447e+00	3.048921241925565351e+00
-7.799999999999968736e+00	2.895632458137135767e+00
-7.749999999999968026e+00	2.735777004958544811e+00
-7.699999999999967315e+00	2.572612240068675948e+00
-7.649999999999966604e+00	2.408576883501395205e+00
-7.599999999999965894e+00	2.245396937277026161e+00
-7.549999999999965183e+00	2.084223433077202259e+00
-7.499999999999964473e+00	1.925785245375489341e+00
-7.449999999999963762e+00	1.770552558678407884e+00
-7.399999999999963052e+00	1.618880805535851009e+00
-7.349999999999962341e+00	1.471135865261943287e+00
-7.299999999999961631e+00	1.327803010449891463e+00
-7.249999999999960920e+00	1.189548770355108642e+00
-7.199999999999960210e+00	1.057274822415496418e+00
-7.149999999999959499e+00	9.321216569655375039e-01
-7.099999999999958789e+00	8.154701857244264218e-01
-7.049999999999958078e+00	7.088940277048766392e-01
-6.999999999999957367e+00	6.141111743754116281e-01
-6.949999999999956657e+00	5.328945521758881032e-01
-6.899999999999955946e+00	4.669745394487424539e-01
-6.849999999999955236e+00	4.179146192873427479e-01
-6.799999999999954525e+00	3.869745316404760160e-01
-6.749999999999953815e+00	3.749580429032760565e-01
-6.699999999999953104e+00	3.820613527560112188e-01
-6.649999999999952394e+00	4.077315592050303472e-01
-6.599999999999951683e+00	4.505442813211089081e-01
-6.549999999999950973e+00	5.081263118628697173e-01
-6.499999999999950262e+00	5.771196779734452109e-01
-6.449999999999949551e+00	6.532207493279841293e-01
-6.399999999999948841e+00	7.312858114624620764e-01
-6.349999999999948130e+00	8.055119695818260261e-01
-6.299999999999947420e+00	8.696923550019970417e-01
-6.249999999999946709e+00	9.175164328584871631e-01
-6.199999999999945999e+00	9.429216799167380314e-01
-6.149999999999945288e+00	9.404526916419599925e-01
-6.099999999999944578e+00	9.056089458637347489e-01
-6.049999999999943867e+00	8.351555277049904635e-01
-5.999999999999943157e+00	7.273683764279275099e-01
-5.949999999999942446e+00	5.821980649162022958e-01
-5.899999999999941735e+00	4.013369957505235064e-01
-5.849999999999941025e+00	1.881873860821499655e-01
-5.799999999999940314e+00	-5.226737278701197587e-02
-5.749999999999939604e+00	-3.136781566843388491e-01
-5.699999999999938893e+00	-5.886150094995870052e-01
-5.649999999999938183e+00	-8.688876795843707423e-01
-5.599999999999937472e+00	-1.145909532947000153e+00
-5.549999999999936762e+00	-1.411041753522588760e+00
-5.499999999999936051e+00	-1.655930298317329852e+00
-5.449999999999935341e+00	-1.872800501401986395e+00
-5.399999999999934630e+00	-2.054711828446281530e+00
-5.349999999999933920e+00	-2.195756788891811251e+00
-5.299999999999933209e+00	-2.291212921806561997e+00
-5.249999999999932498e+00	-2.337648031197181009e+00
-5.199999999999931788e+00	-2.332986280696485615e+00
-5.149999999999931077e+00	-2.276538982493255148e+00
-5.099999999999930367e+00	-2.169014123882993861e+00
-5.049999999999929656e+00	-2.012497840003798721e+00
-4.999999999999928946e+00	-1.810417501321507583e+00
-4.949999999999928235e+00	-1.567475816464024563e+00
-4.899999999999927525e+00	-1.289560343503496798e+00
-4.849999999999926814e+00	-9.836118686341719375e-01
-4.799999999999926104e+00	-6.574588659714283301e-01
-4.749999999999925393e+00	-3.196012452622201128e-01
-4.699999999999924682e+00	2.104201347245860179e-02
-4.649999999999923972e+00	3.554274153927736157e-01
-4.599999999999923261e+00	6.747041064782549613e-01
-4.549999999999922551e+00	9.705400422457408638e-01
-4.499999999999921840e+00	1.235435116866373528e+00
-4.449999999999921130e+00	1.463010105986519926e+00
-4.399999999999920419e+00	1.648230937302056276e+00
-4.349999999999919709e+00	1.787568192449914273e+00
-4.299999999999918998e+00	1.879070914196551811e+00
-4.249999999999918288e+00	1.922346521929859442e+00
