X	y
-1.000000000000000000e+01	-2.347989173243087091e+00
-9.949999999999999289e+00	-2.284391932406245385e+00
-9.899999999999998579e+00	-2.216557210194896044e+00
-9.849999999999997868e+00	-2.145058005723752270e+00
-9.799999999999997158e+00	-2.070388170794832838e+00
-9.749999999999996447e+00	-1.993145488480472460e+00
-9.699999999999995737e+00	-1.914135747789992736e+00
-9.649999999999995026e+00	-1.834639998224465884e+00
-9.599999999999994316e+00	-1.756495119083826939e+00
-9.549999999999993605e+00	-1.681967405150741168e+00
-9.499999999999992895e+00	-1.613853688163684685e+00
-9.449999999999992184e+00	-1.555377316504577445e+00
-9.399999999999991473e+00	-1.509966078926716415e+00
-9.349999999999990763e+00	-1.481188653567133473e+00
-9.299999999999990052e+00	-1.472356155061754768e+00
-9.249999999999989342e+00	-1.486420664806332503e+00
-9.199999999999988631e+00	-1.525698819068321388e+00
-9.149999999999987921e+00	-1.591758272298513743e+00
-9.099999999999987210e+00	-1.685111848595406414e+00
-9.049999999999986500e+00	-1.805369327309374938e+00
-8.999999999999985789e+00	-1.950906691032036733e+00
-8.949999999999985079e+00	-2.119113560612553293e+00
-8.899999999999984368e+00	-2.306304697178480190e+00
-8.849999999999983658e+00	-2.507908230979002173e+00
-8.799999999999982947e+00	-2.718609471568137703e+00
-8.749999999999982236e+00	-2.932458565328255329e+00
-8.699999999999981526e+00	-3.143154433582993512e+00
-8.649999999999980815e+00	-3.344300188104004423e+00
-8.599999999999980105e+00	-3.529526992420927378e+00
-8.549999999999979394e+00	-3.692819030749406206e+00
-8.499999999999978684e+00	-3.828679392602861942e+00
-8.449999999999977973e+00	-3.932424189057473818e+00
-8.399999999999977263e+00	-4.000377550183960018e+00
-8.349999999999976552e+00	-4.029838474967985640e+00
-8.299999999999975842e+00	-4.019364130545535652e+00
-8.249999999999975131e+00	-3.968796157201149200e+00
-8.199999999999974420e+00	-3.879179091808621305e+00
-8.149999999999973710e+00	-3.752683526628391775e+00
-8.099999999999972999e+00	-3.592528259263280788e+00
-8.049999999999972289e+00	-3.402699271518959456e+00
-7.999999999999971578e+00	-3.187845305907447191e+00
-7.949999999999970868e+00	-2.952889142597707739e+00
-7.899999999999970157e+00	-2.702816016509792973e+00
-7.849999999999969447e+00	-2.442556697155242151e+00
-7.799999999999968736e+00	-2.176515202216970479e+00
-7.749999999999968026e+00	-1.908616846355261298e+00
-7.699999999999967315e+00	-1.642104674815463516e+00
-7.649999999999966604e+00	-1.379456557725738275e+00
-7.599999999999965894e+00	-1.122411727096015222e+00
-7.549999999999965183e+00	-8.720561271815385762e-01
-7.499999999999964473e+00	-6.288763036151661101e-01
-7.449999999999963762e+00	-3.929056084600353049e-01
-7.399999999999963052e+00	-1.639293895043103522e-01
-7.349999999999962341e+00	5.844263778299674250e-02
-7.299999999999961631e+00	2.744931275647668478e-01
-7.249999999999960920e+00	4.844380195185744586e-01
-7.199999999999960210e+00	6.881949099460598074e-01
-7.149999999999959499e+00	8.852603100441356343e-01
-7.099999999999958789e+00	1.074909844100292444e+00
-7.049999999999958078e+00	1.255993556152671831e+00
-6.999999999999957367e+00	1.427037198618755554e+00
-6.949999999999956657e+00	1.586456795114388196e+00
-6.899999999999955946e+00	1.732409663817405354e+00
-6.849999999999955236e+00	1.863068017608534577e+00
-6.799999999999954525e+00	1.976660545690343218e+00
-6.749999999999953815e+00	2.071491826765902822e+00
-6.699999999999953104e+00	2.146116465436634702e+00
-6.649999999999952394e+00	2.199301636956561001e+00
-6.599999999999951683e+00	2.230076761609409264e+00
-6.549999999999950973e+00	2.237742310531022127e+00
-6.499999999999950262e+00	2.221886314289414077e+00
-6.449999999999949551e+00	2.182312739041496474e+00
