X	y
-1.000000000000000000e+01	1.421223171107909522e+00
-9.949999999999999289e+00	1.921032918880056783e+00
-9.899999999999998579e+00	2.583834104617261485e+00
-9.849999999999997868e+00	3.212748541549370618e+00
-9.799999999999997158e+00	3.631196865611710400e+00
-9.749999999999996447e+00	3.757982282890398373e+00
-9.699999999999995737e+00	3.634782075287131153e+00
-9.649999999999995026e+00	3.394550811659504230e+00
-9.599999999999994316e+00	3.187609247879265251e+00
-9.549999999999993605e+00	3.106766013848353936e+00
-9.499999999999992895e+00	3.155629253111240207e+00
-9.449999999999992184e+00	3.276919293444031656e+00
-9.399999999999991473e+00	3.416160496918295042e+00
-9.349999999999990763e+00	3.570795918454368056e+00
-9.299999999999990052e+00	3.786449785408418034e+00
-9.249999999999989342e+00	4.102203220427003139e+00
-9.199999999999988631e+00	4.485787407832097173e+00
-9.149999999999987921e+00	4.809503677441225200e+00
-9.099999999999987210e+00	4.890345568594617554e+00
-9.049999999999986500e+00	4.572518217140418173e+00
-8.999999999999985789e+00	3.801490700273027379e+00
-8.949999999999985079e+00	2.649881342538726869e+00
-8.899999999999984368e+00	1.293284809514304134e+00
-8.849999999999983658e+00	-3.926875508437804863e-02
-8.799999999999982947e+00	-1.120807966791616206e+00
-8.749999999999982236e+00	-1.784894928376760781e+00
-8.699999999999981526e+00	-1.981481225406390045e+00
-8.649999999999980815e+00	-1.805836170909942862e+00
-8.599999999999980105e+00	-1.472410232231116112e+00
-8.549999999999979394e+00	-1.232052191074629821e+00
-8.499999999999978684e+00	-1.266867069661424150e+00
-8.449999999999977973e+00	-1.610600675882854826e+00
-8.399999999999977263e+00	-2.126216432200160433e+00
-8.349999999999976552e+00	-2.546371125792577850e+00
-8.299999999999975842e+00	-2.565034391941663383e+00
-8.249999999999975131e+00	-1.957348364927401274e+00
-8.199999999999974420e+00	-6.901733663958316001e-01
-8.149999999999973710e+00	1.024403153242483322e+00
-8.099999999999972999e+00	2.767617299801726993e+00
-8.049999999999972289e+00	4.043166963081445964e+00
-7.999999999999971578e+00	4.454646752624994654e+00
-7.949999999999970868e+00	3.861588326517606973e+00
-7.899999999999970157e+00	2.441172179556992283e+00
-7.849999999999969447e+00	6.152543096531808420e-01
-7.799999999999968736e+00	-1.130226837869884537e+00
