X	y
-2.000000000000000000e+00	2.066399981224257054e+00
-1.949999999999999956e+00	1.980961340085630962e+00
-1.899999999999999911e+00	1.824715341762352949e+00
-1.849999999999999867e+00	1.597110179189840107e+00
-1.799999999999999822e+00	1.306184991157248954e+00
-1.749999999999999778e+00	9.736953876527162377e-01
-1.699999999999999734e+00	6.344192219523321352e-01
-1.649999999999999689e+00	3.281123106902869013e-01
-1.599999999999999645e+00	8.662501562925073451e-02
-1.549999999999999600e+00	-7.781932687952564098e-02
-1.499999999999999556e+00	-1.767047612845283888e-01
-1.449999999999999512e+00	-2.388005304290227171e-01
-1.399999999999999467e+00	-2.962844736540090063e-01
-1.349999999999999423e+00	-3.707932574458819297e-01
-1.299999999999999378e+00	-4.663454370839895669e-01
-1.249999999999999334e+00	-5.712830592154068965e-01
-1.199999999999999289e+00	-6.659320545250340118e-01
-1.149999999999999245e+00	-7.305772870864472024e-01
-1.099999999999999201e+00	-7.504044392740969460e-01
-1.049999999999999156e+00	-7.175865225456170560e-01
-9.999999999999991118e-01	-6.323581314943054199e-01
-9.499999999999990674e-01	-5.037995662556140619e-01
-8.999999999999990230e-01	-3.490925819650093631e-01
-8.499999999999989786e-01	-1.897162395273911950e-01
-7.999999999999989342e-01	-4.503908914234050487e-02
-7.499999999999988898e-01	7.374889905427359227e-02
-6.999999999999988454e-01	1.657717815554402008e-01
-6.499999999999988010e-01	2.371360638700700796e-01
-5.999999999999987566e-01	2.940023207892139001e-01
-5.499999999999987121e-01	3.363094386079671372e-01
-4.999999999999986677e-01	3.561428255534235809e-01
-4.499999999999986233e-01	3.420256132066952226e-01
-3.999999999999985789e-01	2.868948883268029326e-01
-3.499999999999985345e-01	1.951731149225923723e-01
-2.999999999999984901e-01	8.445767766645889685e-02
-2.499999999999984457e-01	-2.003621785277437395e-02
-1.999999999999984013e-01	-9.621005073735627855e-02
-1.499999999999983569e-01	-1.357439606937183851e-01
-9.999999999999831246e-02	-1.488835294262743913e-01
-4.999999999999826805e-02	-1.602547383290332528e-01
1.776356839400250465e-15	-1.972989975542885910e-01
5.000000000000159872e-02	-2.770173228845672631e-01
1.000000000000018652e-01	-3.977790513284041873e-01
1.500000000000021316e-01	-5.401833711913998082e-01
2.000000000000019540e-01	-6.758549530762489876e-01
2.500000000000017764e-01	-7.787113212429647158e-01
3.000000000000020428e-01	-8.324295363727914898e-01
3.500000000000023093e-01	-8.310462530304685291e-01
4.000000000000021316e-01	-7.744786736299023033e-01
4.500000000000019540e-01	-6.637185720995674165e-01
5.000000000000022204e-01	-4.995617347937759134e-01
5.500000000000024869e-01	-2.851276239603157125e-01
6.000000000000023093e-01	-2.925922884165491067e-02
6.500000000000021316e-01	2.523795923884905035e-01
7.000000000000023981e-01	5.392925472747551741e-01
7.500000000000026645e-01	8.094238109311712170e-01
8.000000000000024869e-01	1.041512961774409884e+00
8.500000000000023093e-01	1.216239605587426942e+00
9.000000000000025757e-01	1.317954540077384440e+00
9.500000000000028422e-01	1.338736527722558023e+00
1.000000000000002665e+00	1.284039712110221609e+00
1.050000000000002487e+00	1.176477462672876673e+00
1.100000000000002753e+00	1.053983988290333462e+00
1.150000000000003020e+00	9.613458506193974795e-01
1.200000000000002842e+00	9.379478208991971488e-01
1.250000000000002665e+00	1.006612542407172795e+00
1.300000000000002931e+00	1.167374579598865925e+00
1.350000000000003197e+00	1.397186466569114938e+00
1.400000000000003020e+00	1.654363255491588358e+00
1.450000000000002842e+00	1.886352712510172225e+00
1.500000000000003109e+00	2.040278480811740458e+00
1.550000000000003375e+00	2.075626824160275774e+00
1.600000000000003197e+00	1.976531437995094898e+00
1.650000000000003020e+00	1.758830455875226795e+00
1.700000000000003286e+00	1.467146399711396931e+00
1.750000000000003553e+00	1.161060193058687906e+00
1.800000000000003375e+00	8.953061851470140997e-01
1.850000000000003197e+00	7.028632219732069419e-01
1.900000000000003464e+00	5.887987314030523889e-01
1.950000000000003730e+00	5.369807353483836421e-01
